Time,HMDP.x,HMDP.y,HMDP.z,HMDR_Q.x,HMDR_Q.y,HMDR_Q.z,HMDR_Q.w,LeftHandP.x,LeftHandP.y,LeftHandP.z,LeftHandR_Q.x,LeftHandR_Q.y,LeftHandR_Q.z,LeftHandR_Q.w,RightHandP.x,RightHandP.y,RightHandP.z,RightHandR_Q.x,RightHandR_Q.y,RightHandR_Q.z,RightHandR_Q.w,TriggerPull
0.252737,0.2348645,1.195434,-0.109689,-0.01132425,0.0876018,-0.007185436,-0.9960654,0.147928,0.7643439,0.1446357,0.2499143,-0.008357937,0.2724113,-0.9291206,0.301846,0.9538034,0.3016276,0.06894583,0.1585609,0.06293694,-0.9829262,0
0.2639663,0.2345253,1.194738,-0.1094494,-0.01353721,0.08839276,-0.007830242,-0.995963,0.1517744,0.7690237,0.1434236,0.2571991,-0.02498177,0.2917787,-0.9209179,0.3017498,0.9490973,0.2983176,0.07148501,0.157755,0.04198261,-0.9839923,0
0.2749943,0.2341816,1.194079,-0.1092637,-0.01597097,0.08914175,-0.00850429,-0.9958547,0.1556234,0.7730649,0.1421405,0.2649202,-0.04117119,0.3106015,-0.911948,0.3010061,0.945241,0.2953666,0.07253236,0.1573242,0.02548612,-0.98455,0
0.2861691,0.2339466,1.193337,-0.1092205,-0.01894447,0.08986188,-0.009300346,-0.9957306,0.1587702,0.7770807,0.1409969,0.2698019,-0.05655798,0.3310081,-0.9024644,0.3010331,0.9409432,0.2919314,0.07279502,0.1567401,0.01290676,-0.984869,0
0.2972888,0.2336612,1.192573,-0.1092244,-0.02209459,0.09049265,-0.01003758,-0.9956014,0.1615154,0.7803453,0.1400431,0.2744902,-0.07133483,0.3488055,-0.8932531,0.3012571,0.9365851,0.2890109,0.07186496,0.1537222,-0.0003565482,-0.9854972,0
0.3082826,0.2334795,1.191888,-0.1091969,-0.02541022,0.0913835,-0.01068794,-0.9954342,0.1640133,0.7840583,0.1384964,0.2807105,-0.0862829,0.3630553,-0.8842781,0.3018432,0.9321483,0.2864326,0.06928016,0.1517989,-0.008383302,-0.9859449,0
0.3194853,0.2332993,1.191207,-0.1092234,-0.02872547,0.09208462,-0.01131641,-0.9952725,0.1654927,0.7869374,0.1372683,0.2847082,-0.1009261,0.3757917,-0.8760912,0.30178,0.927385,0.2835619,0.06647486,0.1530278,-0.01625731,-0.9858496,0
0.3305496,0.2331414,1.190684,-0.1092478,-0.03145351,0.09283987,-0.01187006,-0.9951133,0.1667862,0.7896426,0.1361879,0.2868122,-0.1153161,0.3884003,-0.8680934,0.3015504,0.9231513,0.2809997,0.06395613,0.1556589,-0.02625373,-0.9853886,0
0.3416458,0.2329919,1.190258,-0.1092374,-0.03344636,0.09372553,-0.01253251,-0.9949573,0.1672317,0.7918884,0.1353624,0.2878988,-0.1293963,0.4000871,-0.8604075,0.3016583,0.9186459,0.2778542,0.06232123,0.1580244,-0.0357135,-0.9848192,0
0.3528701,0.2328665,1.190079,-0.1091961,-0.03478746,0.0943645,-0.01310885,-0.9948434,0.1682156,0.7943215,0.1339728,0.2904612,-0.1429949,0.4118654,-0.8517932,0.3017167,0.9148307,0.2749884,0.06238635,0.1610672,-0.04746544,-0.9838254,0
0.3638406,0.2327485,1.189926,-0.1091402,-0.03602044,0.09506486,-0.01391878,-0.9947219,0.1677783,0.7964318,0.1331252,0.2916717,-0.1545368,0.4204163,-0.8451604,0.3022195,0.9115835,0.271922,0.06527857,0.1641476,-0.0628918,-0.9822621,0
0.3750041,0.2326417,1.189841,-0.1091098,-0.03714229,0.09555493,-0.0147747,-0.9946213,0.1664748,0.7992185,0.1324277,0.2923952,-0.163018,0.4210419,-0.843003,0.3022774,0.9083533,0.26908,0.07227521,0.1676062,-0.08580229,-0.9794502,0
0.3859652,0.232582,1.1898,-0.1090991,-0.03811463,0.09625271,-0.01581068,-0.9945013,0.1656611,0.8017576,0.1314663,0.2938301,-0.1716733,0.4271433,-0.8376997,0.3024781,0.905727,0.2665922,0.08179359,0.1699653,-0.1126491,-0.9755675,0
0.3972389,0.2325586,1.189667,-0.1090575,-0.03931355,0.09696062,-0.01704226,-0.9943655,0.1638308,0.8044336,0.1311094,0.2940908,-0.1741479,0.4341665,-0.8334762,0.3028233,0.9039718,0.2642787,0.09225322,0.1700086,-0.1414785,-0.9708607,0
0.4085013,0.2325804,1.189507,-0.1090938,-0.04083663,0.09760915,-0.01836837,-0.994217,0.1621583,0.8068752,0.1301905,0.2944468,-0.1766825,0.4428945,-0.8282083,0.3033447,0.9011697,0.2617615,0.0987882,0.1703334,-0.1628107,-0.9668093,0
0.4194689,0.2326459,1.189337,-0.1090602,-0.04236399,0.09807306,-0.01987228,-0.9940786,0.1591398,0.8093691,0.1304266,0.2932665,-0.1715641,0.4529691,-0.8242448,0.3054864,0.8996056,0.2600112,0.1062581,0.1687989,-0.1794481,-0.9633351,0
0.4304597,0.2328175,1.18906,-0.1091162,-0.044328,0.09829749,-0.02106635,-0.9939461,0.1570451,0.8118399,0.1299438,0.2927628,-0.1730735,0.4610539,-0.8196126,0.3063478,0.8981761,0.2580217,0.1125239,0.1658517,-0.201039,-0.9588614,0
0.4416514,0.2329322,1.188841,-0.1090764,-0.04648632,0.0984123,-0.02203258,-0.9938152,0.1541352,0.8144392,0.1297758,0.292019,-0.1725547,0.466551,-0.8168721,0.3090737,0.8977373,0.2565732,0.1201788,0.1564683,-0.2234596,-0.9545368,0
0.4528615,0.2330898,1.188538,-0.1090614,-0.04898331,0.09821451,-0.02296226,-0.9936938,0.1515453,0.8170397,0.1293662,0.2928423,-0.1737781,0.4725587,-0.8128548,0.3114084,0.8979428,0.255346,0.1281374,0.146509,-0.2414063,-0.9507045,0
0.4639202,0.2331982,1.188165,-0.1091201,-0.05131838,0.09820712,-0.0237545,-0.9935581,0.1487298,0.8198905,0.1288419,0.2960542,-0.1723372,0.4802177,-0.8074918,0.3134526,0.8990295,0.2541943,0.1412928,0.1365651,-0.2662835,-0.9436522,0
